Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2024-11-01,876.3417358398438,878.4393937433476,866.3827687055779,873.3051129484929,1625200
2024-11-04,885.092041015625,886.021007247111,875.7623228620765,880.367281084192,1576700
2024-11-05,889.1875,894.5915631109849,885.8212243551307,887.0199121055884,1622300
2024-11-06,898.2575073242188,898.9068143132381,885.3018514400295,897.2886071674586,2437400
2024-11-07,912.9212646484375,918.4651267772055,893.3828559619786,897.6281651277238,2145500
2024-11-08,942.75830078125,960.9382253462231,912.7414796362905,912.9912037073263,3277100
2024-11-11,931.8504028320312,950.2301194864976,930.4119896941356,942.7583335631934,2181800
2024-11-12,931.3509521484375,938.5230203824062,925.9768850900169,934.9170193133011,1691400
2024-11-13,932.6994018554688,936.5551878228633,922.1810557546703,928.9735382493873,1757600
2024-11-14,922.8703002929688,930.1222970526499,921.1521669852664,925.9768530966543,1859900
2024-11-15,906.06884765625,919.5339498767266,904.5605045325196,916.727053794535,2269900
2024-11-18,918.4951171875,924.9180128749127,906.1087790765911,909.634912167339,1797800
2024-11-19,929.1234130859375,932.9691394341759,915.3485941599157,926.9757616647914,1690500
2024-11-20,927.0557250976562,927.7749011923291,915.4884884993177,924.0590361009318,1452100
2024-11-21,954.5952758789062,957.4321072360656,928.9735613324588,933.9680428449989,2320500
2024-11-22,962.946044921875,975.2224586662559,957.4621139156644,961.6774270940498,2078700
2024-11-25,959.8294677734375,973.9238797496472,948.6418171663449,973.9238797496472,3240900
2024-11-26,970.427734375,973.294561816317,959.8294594944351,962.9360122876994,1438000
2024-11-27,960.4887084960938,971.2168448181095,957.5320145185048,970.3878048002264,1499500
2024-11-29,970.8073120117188,972.1957924596411,961.4076639666678,967.0215170958611,1095900
2024-12-02,973.9238891601562,975.422233605018,963.6952008380798,970.2878920083551,1955800
2024-12-03,981.0660400390625,981.915077519587,969.6885963803954,973.6142515817089,1653900
2024-12-04,989.8262939453125,990.0560815499548,976.4710554344827,980.9161561155298,1784700
2024-12-05,981.1759033203125,989.0372124354778,977.1203867234575,985.5710105220245,2089400
2024-12-06,991.5144653320312,996.6088731640727,981.1759127678479,981.1759127678479,1737300
2024-12-09,986.7697143554688,995.9096401661055,979.4178519957062,995.9096401661055,1855500
2024-12-10,992.3035888671875,993.8917998103097,984.7918693324391,988.6375956230441,1556800
2024-12-11,993.5921630859375,1006.6876789466704,992.4934015430539,993.9018185002259,1903600
2024-12-12,987.2991333007812,1001.3635493750883,986.1204429772914,1000.5744432427276,2344300
